"arousal","valence"
0.0666666666666667,0.508333333333333
0.383333333333333,0.691666666666667
0.616666666666667,-0.75
0.283333333333333,-0.641666666666667
0.0583333333333333,0.591666666666667
-0.266666666666667,0.675
0.108333333333333,-0.508333333333333
0.216666666666667,0.391666666666667
0.566666666666667,0.475
-0.0583333333333333,-0.716666666666667
0.0833333333333333,-0.65
0.208333333333333,-0.816666666666667
0.216666666666667,-0.75
0.8,0.733333333333333
0.508333333333333,-0.816666666666667
-0.15,0.658333333333333
0.05,-0.925
0.316666666666667,0.841666666666667
0.383333333333333,0.875
0.316666666666667,-0.716666666666667
0.025,0.575
0.283333333333333,0.558333333333333
-0.108333333333333,0.183333333333333
-0.6,0.716666666666667
-0.0166666666666667,-0.741666666666667
-0.1,-0.766666666666667
0.408333333333333,0.141666666666667
